Singer,acousticness,danceability,energy,id,instrumentalness,key,liveness,loudness,mode,Song name,speechiness,tempo,track_href,valence
Aastha Gill,0.485,0.77,0.824,39ujbBjTwwqUFySaCYDMMT,0,1,0.318,-6.491,0,Proper Patola,0.0851,172.006,https://api.spotify.com/v1/tracks/39ujbBjTwwqUFySaCYDMMT,0.49
Aastha Gill,0.143,0.825,0.666,5cjVsWqIkBQC7acTRhL0RO,2.81E-06,4,0.237,-4.847,0,Kamariya,0.0554,96.987,https://api.spotify.com/v1/tracks/5cjVsWqIkBQC7acTRhL0RO,0.763
Aastha Gill,0.236,0.663,0.551,3XYvdqcZrTmRntFDDbJkJd,3.57E-05,3,0.0923,-8.272,0,Buzz (feat. Badshah),0.109,113.314,https://api.spotify.com/v1/tracks/3XYvdqcZrTmRntFDDbJkJd,0.601
Aastha Gill,0.00323,0.919,0.571,46GBoFCdFZZSjuGaZjZmGv,0.00168,5,0.103,-7.175,0,Saara India,0.0687,105.007,https://api.spotify.com/v1/tracks/46GBoFCdFZZSjuGaZjZmGv,0.231
Aastha Gill,0.129,0.867,0.72,6VwVEIiCro1EMyh9B6Om3v,0,9,0.228,-5.188,0,Drunk n High,0.0619,104.974,https://api.spotify.com/v1/tracks/6VwVEIiCro1EMyh9B6Om3v,0.755
Aastha Gill,0.607,0.801,0.862,7hXcOpRn1c1zFG6sOFcfj5,0,8,0.637,-2.87,0,Video Bana De,0.0487,95.992,https://api.spotify.com/v1/tracks/7hXcOpRn1c1zFG6sOFcfj5,0.619
Aastha Gill,0.0293,0.826,0.725,6fzzFUK6M1PxIbPMNQl5Ak,0.00781,11,0.116,-6.593,0,"Heelein Toot Gayi (From ""Indoo Ki Jawani"")",0.052,104.998,https://api.spotify.com/v1/tracks/6fzzFUK6M1PxIbPMNQl5Ak,0.727
Aastha Gill,0.0081,0.806,0.815,0rUN8ascPVT9iiLzC5ocPw,2.35E-05,3,0.586,-5.373,0,Abhi Toh Party Shuru Hui Hai,0.0599,129.999,https://api.spotify.com/v1/tracks/0rUN8ascPVT9iiLzC5ocPw,0.678
Aastha Gill,0.0384,0.854,0.64,1zgld0Oet9q8u2mjrGCBNr,0,9,0.0848,-3.684,0,Hermosa (feat. D Soldierz),0.0425,98.036,https://api.spotify.com/v1/tracks/1zgld0Oet9q8u2mjrGCBNr,0.486
Aastha Gill,0.276,0.543,0.455,5GoZcfJqSpkNLgKQqbkUxL,0,4,0.0948,-11.914,0,Heartless (feat. Aastha Gill),0.101,172.084,https://api.spotify.com/v1/tracks/5GoZcfJqSpkNLgKQqbkUxL,0.659
Aastha Gill,0.324,0.871,0.924,3rnxHAKckU017oJHqRUvEF,0.000634,10,0.0915,-4.269,0,"Happy Happy (From ""Blackmail"")",0.049,112.018,https://api.spotify.com/v1/tracks/3rnxHAKckU017oJHqRUvEF,0.893
Aastha Gill,0.0642,0.756,0.682,2R0rO83dIjakuYnGIuIMaK,0.00275,6,0.0813,-9.954,0,Nain (feat. Aastha Gill),0.0976,105.053,https://api.spotify.com/v1/tracks/2R0rO83dIjakuYnGIuIMaK,0.891
Aastha Gill,0.157,0.759,0.832,4Zm839WDVPCjfw972kmKhx,0.000535,7,0.445,-3.563,0,The Proper Mashup,0.0438,105.002,https://api.spotify.com/v1/tracks/4Zm839WDVPCjfw972kmKhx,0.305
Aastha Gill,0.165,0.751,0.914,4mnioKrUamCqvbS6LEHnwP,0,1,0.192,-3.28,0,"Namaste England Dhadaka Mix - Remix by DJ Anshul (From ""Namaste England"")",0.0384,105.009,https://api.spotify.com/v1/tracks/4mnioKrUamCqvbS6LEHnwP,0.786
Aastha Gill,0.0289,0.713,0.834,6F21sBQKXGEv9zLBZx8aid,0,11,0.0616,-5.928,0,Saturday Saturday (Khul Jaaye Masti),0.0799,129.943,https://api.spotify.com/v1/tracks/6F21sBQKXGEv9zLBZx8aid,0.71
Aastha Gill,0.0566,0.747,0.537,2hVSYIv4IjdnaXb1OtxtTG,1.21E-05,8,0.0841,-7.845,0,Kala Tikka,0.0521,102.012,https://api.spotify.com/v1/tracks/2hVSYIv4IjdnaXb1OtxtTG,0.237
Aastha Gill,0.3,0.827,0.757,7wEjJnTE339AxWZBPSZZNg,0,5,0.135,-6.43,0,RayZR Mera Swag (feat. Aastha Gill),0.0759,149.956,https://api.spotify.com/v1/tracks/7wEjJnTE339AxWZBPSZZNg,0.778
Aastha Gill,0.0276,0.753,0.698,00Z2UXK5iHVjizbGqBSHyJ,0.00143,7,0.556,-14.779,0,9XM Smashup # 55 (By DJ Suketu),0.0582,105.018,https://api.spotify.com/v1/tracks/00Z2UXK5iHVjizbGqBSHyJ,0.75
Aastha Gill,0.255,0.93,0.915,455DefwYILLdoDGKcavxDN,0.000148,10,0.0733,-3.532,0,DJ Wale Babu - Hip Hop Mix,0.113,109.973,https://api.spotify.com/v1/tracks/455DefwYILLdoDGKcavxDN,0.884
Aastha Gill,0.236,0.886,0.579,47Rqh5ZSamtIOFi7G6VgFJ,4.23E-06,0,0.0586,-7.231,1,Paani Paani,0.209,105.028,https://api.spotify.com/v1/tracks/47Rqh5ZSamtIOFi7G6VgFJ,0.427
Aastha Gill,0.0335,0.807,0.5,7gAyu0od48mkaCw1laPKVC,8.73E-06,9,0.0967,-10.361,1,Naagin,0.0581,97.09,https://api.spotify.com/v1/tracks/7gAyu0od48mkaCw1laPKVC,0.243
Aastha Gill,0.0593,0.521,0.837,1FSYDJAlyHAabWhiGgYfDq,1.28E-05,7,0.157,-4.501,1,"52 Non Stop Dilbar Dilbar Remix(Remix By Kedrock,Sd Style)",0.0794,106.001,https://api.spotify.com/v1/tracks/1FSYDJAlyHAabWhiGgYfDq,0.48
Aastha Gill,0.345,0.959,0.606,2SRv30X7NoYRZB62dX0UzH,0,1,0.126,-5.754,1,Dj Waley Babu (feat. Aastha Gill),0.219,110,https://api.spotify.com/v1/tracks/2SRv30X7NoYRZB62dX0UzH,0.783
Aastha Gill,0.00145,0.818,0.814,0DX4hRvTxwb6tSluWEDeOV,0.00462,0,0.34,-6.364,1,Crazy Lady,0.042,109,https://api.spotify.com/v1/tracks/0DX4hRvTxwb6tSluWEDeOV,0.951
Aastha Gill,0.815,0.478,0.283,54RzXquXaesnhlh8bOtysI,0,0,0.094,-15.296,1,Call Waiting - Reprise,0.204,175.576,https://api.spotify.com/v1/tracks/54RzXquXaesnhlh8bOtysI,0.41
Aastha Gill,0.396,0.822,0.537,1kDITI7aLrBoCAD56f6gwH,0,0,0.112,-7.398,1,Light Kardo Band (feat. Aastha Gill),0.0594,110.011,https://api.spotify.com/v1/tracks/1kDITI7aLrBoCAD56f6gwH,0.516
Aastha Gill,0.000948,0.898,0.366,5nA9q840nwJN7oIyc5TmDc,0.0013,1,0.0605,-10.84,1,Kareja Kareja (feat. Aastha Gill),0.0797,95.011,https://api.spotify.com/v1/tracks/5nA9q840nwJN7oIyc5TmDc,0.0506
Alka Yagnik,0.379,0.643,0.43,6A5wFryRTfXaihsdLwA31C,1.34E-05,5,0.17,-11.978,0,"Hai Mera Dil (From ""Josh"")",0.0331,89.92,https://api.spotify.com/v1/tracks/6A5wFryRTfXaihsdLwA31C,0.565
Alka Yagnik,0.572,0.525,0.448,2ILhVeTkbDAYEvesCCBsNo,1.51E-05,2,0.107,-10.365,0,Tumhi Dekho Naa,0.0391,81.131,https://api.spotify.com/v1/tracks/2ILhVeTkbDAYEvesCCBsNo,0.356
Alka Yagnik,0.587,0.703,0.666,5yDC62x6y5vZc32PzULCeU,5.11E-06,7,0.0924,-8.901,0,Saajanji Ghar Aaye,0.0356,98.214,https://api.spotify.com/v1/tracks/5yDC62x6y5vZc32PzULCeU,0.943
Alka Yagnik,0.419,0.646,0.908,0IYpKZhCeoXB85BslBg3q5,1.57E-06,11,0.381,-4.68,0,Yeh Ladka Hai Allah,0.0988,104.238,https://api.spotify.com/v1/tracks/0IYpKZhCeoXB85BslBg3q5,0.881
Alka Yagnik,0.521,0.602,0.874,1oKo3a7YG86ERB2nlGTzz1,0.0313,5,0.113,-8.529,0,"Tip Tip Barsa Paani (From ""Mohra"")",0.0377,103.198,https://api.spotify.com/v1/tracks/1oKo3a7YG86ERB2nlGTzz1,0.691
Alka Yagnik,0.571,0.623,0.734,307KPUfJ7GREExZZlzTRUc,5.39E-06,0,0.213,-12.254,0,Raghupati Raghav,0.0496,107.187,https://api.spotify.com/v1/tracks/307KPUfJ7GREExZZlzTRUc,0.874
Alka Yagnik,0.0984,0.793,0.468,0lCdndc8chDOcAQqfLvCyE,0,7,0.1,-7.677,0,Mehndi Hai Rachnewali,0.0582,82.017,https://api.spotify.com/v1/tracks/0lCdndc8chDOcAQqfLvCyE,0.871
Alka Yagnik,0.332,0.628,0.665,6jyIymhrFptrIXBjSyQ2HX,1.94E-06,7,0.238,-9.988,0,"Dil Ne Yeh Kaha Hain Dil Se (From ""Dhadkan"")",0.0428,80.709,https://api.spotify.com/v1/tracks/6jyIymhrFptrIXBjSyQ2HX,0.731
Alka Yagnik,0.602,0.547,0.554,4RixtPhUXlci9ad4qIMj23,0.000155,7,0.0735,-11.165,1,Kuch Kuch Hota Hai,0.0374,91.386,https://api.spotify.com/v1/tracks/4RixtPhUXlci9ad4qIMj23,0.848
Alka Yagnik,0.329,0.633,0.691,2bTOQ3zfHVDEBX9ffy3JzR,0.000211,5,0.134,-5.851,1,"Suraj Hua Maddham (From ""Kabhi Khushi Kabhie Gham"")",0.0557,80.002,https://api.spotify.com/v1/tracks/2bTOQ3zfHVDEBX9ffy3JzR,0.57
Alka Yagnik,0.752,0.365,0.407,4uXShFWajd1PTQzlW3P4jj,0.00129,5,0.212,-10.352,1,Kabhi Alvida Naa Kehna,0.0424,149.161,https://api.spotify.com/v1/tracks/4uXShFWajd1PTQzlW3P4jj,0.464
Alka Yagnik,0.45,0.59,0.875,1uzkWkIaWaxzHJgJ4Fy5rO,1.18E-05,5,0.164,-5.294,1,Bole Chudiyan,0.171,96.915,https://api.spotify.com/v1/tracks/1uzkWkIaWaxzHJgJ4Fy5rO,0.736
Alka Yagnik,0.403,0.609,0.935,5thheALMKZqEl479BxqAnL,9.17E-05,0,0.311,-7.839,1,Dil Laga Liya Maine,0.0609,81.03,https://api.spotify.com/v1/tracks/5thheALMKZqEl479BxqAnL,0.917
Alka Yagnik,0.0929,0.589,0.435,3CVsfCGtVJGLH9UQMKmBMC,0,0,0.0677,-14.767,1,Meri Mehbooba,0.156,81.9,https://api.spotify.com/v1/tracks/3CVsfCGtVJGLH9UQMKmBMC,0.595
Alka Yagnik,0.531,0.578,0.546,5b42eTlj8UUI8adpMvdo5H,0,7,0.152,-12.614,1,"Hum to Dil Se Haare (From ""Josh"")",0.0386,82.949,https://api.spotify.com/v1/tracks/5b42eTlj8UUI8adpMvdo5H,0.616
