name,followers,popularity,uri,link,genres
Prateek Kuhad,667407,62,spotify:artist:0tC995Rfn9k2l7nqgCZsV7,https://api.spotify.com/v1/artists/0tC995Rfn9k2l7nqgCZsV7,"folk-pop,hindi indie,indian singer-songwriter"
Prateek Kuhad,667407,62,spotify:artist:0tC995Rfn9k2l7nqgCZsV7,https://api.spotify.com/v1/artists/0tC995Rfn9k2l7nqgCZsV7,"folk-pop,hindi indie,indian singer-songwriter"
Prateek Kuhad,667407,62,spotify:artist:0tC995Rfn9k2l7nqgCZsV7,https://api.spotify.com/v1/artists/0tC995Rfn9k2l7nqgCZsV7,"folk-pop,hindi indie,indian singer-songwriter"
Prateek Kuhad,667407,62,spotify:artist:0tC995Rfn9k2l7nqgCZsV7,https://api.spotify.com/v1/artists/0tC995Rfn9k2l7nqgCZsV7,"folk-pop,hindi indie,indian singer-songwriter"
Prateek Kuhad,667407,62,spotify:artist:0tC995Rfn9k2l7nqgCZsV7,https://api.spotify.com/v1/artists/0tC995Rfn9k2l7nqgCZsV7,"folk-pop,hindi indie,indian singer-songwriter"
Prateek Kuhad,667407,62,spotify:artist:0tC995Rfn9k2l7nqgCZsV7,https://api.spotify.com/v1/artists/0tC995Rfn9k2l7nqgCZsV7,"folk-pop,hindi indie,indian singer-songwriter"
Prateek Kuhad,667407,62,spotify:artist:0tC995Rfn9k2l7nqgCZsV7,https://api.spotify.com/v1/artists/0tC995Rfn9k2l7nqgCZsV7,"folk-pop,hindi indie,indian singer-songwriter"
Prateek Kuhad,667407,62,spotify:artist:0tC995Rfn9k2l7nqgCZsV7,https://api.spotify.com/v1/artists/0tC995Rfn9k2l7nqgCZsV7,"folk-pop,hindi indie,indian singer-songwriter"
Prateek Kuhad,667407,62,spotify:artist:0tC995Rfn9k2l7nqgCZsV7,https://api.spotify.com/v1/artists/0tC995Rfn9k2l7nqgCZsV7,"folk-pop,hindi indie,indian singer-songwriter"
Prateek Kuhad,667407,62,spotify:artist:0tC995Rfn9k2l7nqgCZsV7,https://api.spotify.com/v1/artists/0tC995Rfn9k2l7nqgCZsV7,"folk-pop,hindi indie,indian singer-songwriter"
Prateek Kuhad,667407,62,spotify:artist:0tC995Rfn9k2l7nqgCZsV7,https://api.spotify.com/v1/artists/0tC995Rfn9k2l7nqgCZsV7,"folk-pop,hindi indie,indian singer-songwriter"
Sidhu Moose Wala,11728615,77,spotify:artist:4PULA4EFzYTrxYvOVlwpiQ,https://api.spotify.com/v1/artists/4PULA4EFzYTrxYvOVlwpiQ,"desi hip hop,desi pop,pakistani hip hop,punjabi hip hop"
Sunny Malton,78928,64,spotify:artist:2ScEhgArBEdKyU4vNHSyiY,https://api.spotify.com/v1/artists/2ScEhgArBEdKyU4vNHSyiY,punjabi hip hop
SOE,198,55,spotify:artist:503jMzlAxbEpfltywmU45E,https://api.spotify.com/v1/artists/503jMzlAxbEpfltywmU45E,
Sidhu Moose Wala,11728615,77,spotify:artist:4PULA4EFzYTrxYvOVlwpiQ,https://api.spotify.com/v1/artists/4PULA4EFzYTrxYvOVlwpiQ,"desi hip hop,desi pop,pakistani hip hop,punjabi hip hop"
AR Paisley,42089,54,spotify:artist:4CqzwlyoNSvoGeMk7NiMhd,https://api.spotify.com/v1/artists/4CqzwlyoNSvoGeMk7NiMhd,"canadian hip hop,toronto rap"
