playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:7gKVccRxsOD0gKdUv63HoB,153693,6,1,4,0.771,0.786,0.356,0.694,0.1,-11.432,0.0462,0.519,116.023,spotify:track:47hXMyQDGW8sA1NGqmFL7h
spotify:playlist:7gKVccRxsOD0gKdUv63HoB,204373,11,1,4,0.845,0.348,0.31,0.0569,0.111,-13.122,0.0413,0.0474,114.812,spotify:track:1y7FoHfVtbZV6mONGJgU7j
spotify:playlist:7gKVccRxsOD0gKdUv63HoB,193733,7,1,4,0.767,0.611,0.525,0.799,0.112,-9.683,0.0354,0.299,113.946,spotify:track:0SHa9XHwYYB1UUmgbgHuhQ
spotify:playlist:7gKVccRxsOD0gKdUv63HoB,163653,1,1,4,0.663,0.533,0.678,0,0.145,-5.244,0.0256,0.683,80.96,spotify:track:3hB9lDLyAClYVZivMMl20N
spotify:playlist:7gKVccRxsOD0gKdUv63HoB,184413,7,1,4,0.92,0.481,0.669,0.0219,0.139,-13.329,0.455,0.351,128.219,spotify:track:0HuS5vFQd06cXV54I0twkV
spotify:playlist:7gKVccRxsOD0gKdUv63HoB,180013,0,1,4,0.838,0.36,0.247,0.00454,0.104,-9.415,0.0396,0.279,77.225,spotify:track:3XWRc74od1pT7MUkGiJmoW
spotify:playlist:7gKVccRxsOD0gKdUv63HoB,167587,5,1,4,0.768,0.358,0.58,0.0058,0.127,-9.924,0.045,0.352,98.853,spotify:track:1kJvdhrr9MHOZ1e1PhTXTG
spotify:playlist:7gKVccRxsOD0gKdUv63HoB,219907,5,0,4,0.733,0.693,0.459,0.0593,0.12,-12.451,0.0407,0.35,81.024,spotify:track:29YXX6TCgc7d5jz3BYF7Gc
spotify:playlist:7gKVccRxsOD0gKdUv63HoB,187733,0,1,4,0.662,0.661,0.481,0.0791,0.0789,-10.962,0.0294,0.154,119.974,spotify:track:7pgIbZ3tWdXLUAlofe3r2i
spotify:playlist:7gKVccRxsOD0gKdUv63HoB,219573,7,1,4,0.597,0.606,0.488,0.0982,0.184,-7.339,0.0255,0.468,81.019,spotify:track:39lOHITmszIVH9WF4Jpbum
spotify:playlist:7gKVccRxsOD0gKdUv63HoB,95000,9,1,4,0.929,0.541,0.254,0.000325,0.101,-10.966,0.0387,0.251,187.857,spotify:track:6Td37HXpeCVelczrLcg73L
spotify:playlist:7gKVccRxsOD0gKdUv63HoB,183226,8,0,4,0.069,0.814,0.786,0,0.0976,-5.178,0.232,0.797,93.025,spotify:track:3JkVYvxNoGf2HCWJo61462
spotify:playlist:7gKVccRxsOD0gKdUv63HoB,232258,4,0,4,0.101,0.824,0.543,0,0.178,-8.667,0.209,0.548,124.018,spotify:track:1skGwRjc7wYY70PJCAkKMr
spotify:playlist:7gKVccRxsOD0gKdUv63HoB,173333,8,1,5,0.434,0.738,0.599,0,0.13,-7.102,0.0393,0.575,120.052,spotify:track:1w3exvIgbRFV2ijf6qyWm8
spotify:playlist:7gKVccRxsOD0gKdUv63HoB,108493,8,1,4,0.139,0.742,0.675,0,0.167,-6.551,0.0907,0.679,145.989,spotify:track:7cVe3mYMIfhOlz1NXFWv70
spotify:playlist:7gKVccRxsOD0gKdUv63HoB,159086,9,1,4,0.0381,0.552,0.667,0,0.0777,-8.024,0.333,0.348,174.889,spotify:track:1O00WM9qGLUBA5gq2yw0WF
spotify:playlist:7gKVccRxsOD0gKdUv63HoB,160036,2,0,3,0.0202,0.661,0.415,0.0288,0.31,-10.679,0.183,0.286,89.928,spotify:track:18sA3ZuFnaYvinSyc1EZ0M
spotify:playlist:7gKVccRxsOD0gKdUv63HoB,199735,11,0,4,0.0475,0.739,0.39,0.132,0.0732,-12.118,0.0918,0.285,91.961,spotify:track:3TB0OtQMzrPoNcmXfUMVzC
spotify:playlist:7gKVccRxsOD0gKdUv63HoB,190358,7,1,4,0.0554,0.756,0.436,0.0311,0.309,-7.262,0.0457,0.228,101.933,spotify:track:308ngBPHBQa8HW4n0PBUKh
spotify:playlist:7gKVccRxsOD0gKdUv63HoB,170108,6,1,4,0.443,0.659,0.277,0.103,0.128,-16.718,0.119,0.24,149.91,spotify:track:5Mk3wOYG9Emd6SL5jVviZ7
spotify:playlist:7gKVccRxsOD0gKdUv63HoB,204027,7,0,4,0.286,0.784,0.39,0.000378,0.139,-10.205,0.0615,0.316,89.997,spotify:track:1Dq6xyMtnxEdmVOjzV9caq
