playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:7gKVccRxsOD0gKdUv63HoB,The Way That Lovers Do,spotify:album:4WLh56ZjwINYBNhaxLvEhA,Prateek Kuhad,spotify:artist:0tC995Rfn9k2l7nqgCZsV7,1,153693,All I Need,55,false,spotify:track:47hXMyQDGW8sA1NGqmFL7h,https://api.spotify.com/v1/tracks/47hXMyQDGW8sA1NGqmFL7h
spotify:playlist:7gKVccRxsOD0gKdUv63HoB,The Way That Lovers Do,spotify:album:4WLh56ZjwINYBNhaxLvEhA,Prateek Kuhad,spotify:artist:0tC995Rfn9k2l7nqgCZsV7,1,204373,Hollow,40,false,spotify:track:1y7FoHfVtbZV6mONGJgU7j,https://api.spotify.com/v1/tracks/1y7FoHfVtbZV6mONGJgU7j
spotify:playlist:7gKVccRxsOD0gKdUv63HoB,The Way That Lovers Do,spotify:album:4WLh56ZjwINYBNhaxLvEhA,Prateek Kuhad,spotify:artist:0tC995Rfn9k2l7nqgCZsV7,1,193733,Favorite Peeps,44,false,spotify:track:0SHa9XHwYYB1UUmgbgHuhQ,https://api.spotify.com/v1/tracks/0SHa9XHwYYB1UUmgbgHuhQ
spotify:playlist:7gKVccRxsOD0gKdUv63HoB,The Way That Lovers Do,spotify:album:4WLh56ZjwINYBNhaxLvEhA,Prateek Kuhad,spotify:artist:0tC995Rfn9k2l7nqgCZsV7,1,163653,Co2,53,false,spotify:track:3hB9lDLyAClYVZivMMl20N,https://api.spotify.com/v1/tracks/3hB9lDLyAClYVZivMMl20N
spotify:playlist:7gKVccRxsOD0gKdUv63HoB,The Way That Lovers Do,spotify:album:4WLh56ZjwINYBNhaxLvEhA,Prateek Kuhad,spotify:artist:0tC995Rfn9k2l7nqgCZsV7,1,184413,Face,39,false,spotify:track:0HuS5vFQd06cXV54I0twkV,https://api.spotify.com/v1/tracks/0HuS5vFQd06cXV54I0twkV
spotify:playlist:7gKVccRxsOD0gKdUv63HoB,The Way That Lovers Do,spotify:album:4WLh56ZjwINYBNhaxLvEhA,Prateek Kuhad,spotify:artist:0tC995Rfn9k2l7nqgCZsV7,1,180013,Just A Word,44,false,spotify:track:3XWRc74od1pT7MUkGiJmoW,https://api.spotify.com/v1/tracks/3XWRc74od1pT7MUkGiJmoW
spotify:playlist:7gKVccRxsOD0gKdUv63HoB,The Way That Lovers Do,spotify:album:4WLh56ZjwINYBNhaxLvEhA,Prateek Kuhad,spotify:artist:0tC995Rfn9k2l7nqgCZsV7,1,167586,Drown,41,false,spotify:track:1kJvdhrr9MHOZ1e1PhTXTG,https://api.spotify.com/v1/tracks/1kJvdhrr9MHOZ1e1PhTXTG
spotify:playlist:7gKVccRxsOD0gKdUv63HoB,The Way That Lovers Do,spotify:album:4WLh56ZjwINYBNhaxLvEhA,Prateek Kuhad,spotify:artist:0tC995Rfn9k2l7nqgCZsV7,1,219906,The Last Time,38,false,spotify:track:29YXX6TCgc7d5jz3BYF7Gc,https://api.spotify.com/v1/tracks/29YXX6TCgc7d5jz3BYF7Gc
spotify:playlist:7gKVccRxsOD0gKdUv63HoB,The Way That Lovers Do,spotify:album:4WLh56ZjwINYBNhaxLvEhA,Prateek Kuhad,spotify:artist:0tC995Rfn9k2l7nqgCZsV7,1,187733,Heartbroken,40,false,spotify:track:7pgIbZ3tWdXLUAlofe3r2i,https://api.spotify.com/v1/tracks/7pgIbZ3tWdXLUAlofe3r2i
spotify:playlist:7gKVccRxsOD0gKdUv63HoB,The Way That Lovers Do,spotify:album:4WLh56ZjwINYBNhaxLvEhA,Prateek Kuhad,spotify:artist:0tC995Rfn9k2l7nqgCZsV7,1,219573,Bloom,43,false,spotify:track:39lOHITmszIVH9WF4Jpbum,https://api.spotify.com/v1/tracks/39lOHITmszIVH9WF4Jpbum
spotify:playlist:7gKVccRxsOD0gKdUv63HoB,The Way That Lovers Do,spotify:album:4WLh56ZjwINYBNhaxLvEhA,Prateek Kuhad,spotify:artist:0tC995Rfn9k2l7nqgCZsV7,1,95000,Full Time Lover,38,false,spotify:track:6Td37HXpeCVelczrLcg73L,https://api.spotify.com/v1/tracks/6Td37HXpeCVelczrLcg73L
spotify:playlist:7gKVccRxsOD0gKdUv63HoB,No Name,spotify:album:57SIarHHgfby4AvV6ftCB5,Sidhu Moose Wala,spotify:artist:4PULA4EFzYTrxYvOVlwpiQ,1,183225,Never Fold,74,false,spotify:track:3JkVYvxNoGf2HCWJo61462,https://api.spotify.com/v1/tracks/3JkVYvxNoGf2HCWJo61462
spotify:playlist:7gKVccRxsOD0gKdUv63HoB,No Name,spotify:album:57SIarHHgfby4AvV6ftCB5,Sunny Malton,spotify:artist:2ScEhgArBEdKyU4vNHSyiY,1,183225,Never Fold,74,false,spotify:track:3JkVYvxNoGf2HCWJo61462,https://api.spotify.com/v1/tracks/3JkVYvxNoGf2HCWJo61462
spotify:playlist:7gKVccRxsOD0gKdUv63HoB,No Name,spotify:album:57SIarHHgfby4AvV6ftCB5,SOE,spotify:artist:503jMzlAxbEpfltywmU45E,1,183225,Never Fold,74,false,spotify:track:3JkVYvxNoGf2HCWJo61462,https://api.spotify.com/v1/tracks/3JkVYvxNoGf2HCWJo61462
